Split,Class,Original Class Folder,Patient ID,Path,Filename,Extension,SHA256,Valid,Width,Height,Mode,Format,Array Shape,Minimum Pixel,Maximum Pixel,Mean Pixel,Standard Deviation,File Size Bytes,MobileNet Resize Successful,Possible Blank Image,Possible All-Black Image,Possible All-White Image
train,Abdomen,Fetal abdomen,patient00168,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00168_Plane2_1_of_2.png,Patient00168_Plane2_1_of_2.png,.png,ef542da95c4308e45ba688311558d3d0bcfc5320d9211c690cc1126c7f15ad37,True,640,392,L,PNG,"(392, 640)",0.0,252.0,38.7594746492347,40.80971766086437,92081,True,False,False,False
train,Abdomen,Fetal abdomen,patient00168,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00168_Plane2_2_of_2.png,Patient00168_Plane2_2_of_2.png,.png,8127a41460a080b2f9b49805ca9f956d8920e81d4a1d73b9a544745a6e157ed2,True,640,392,L,PNG,"(392, 640)",0.0,250.0,41.813524394132656,37.277017488144445,90206,True,False,False,False
train,Abdomen,Fetal abdomen,patient00188,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00188_Plane2_1_of_1.png,Patient00188_Plane2_1_of_1.png,.png,3e3343d878bd9673be7bfc4701cc0b03a6789fd8e6b700d8bf80a46df2324d22,True,640,392,L,PNG,"(392, 640)",0.0,250.0,61.38116230867347,58.10922641515206,104873,True,False,False,False
train,Abdomen,Fetal abdomen,patient00216,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00216_Plane2_1_of_1.png,Patient00216_Plane2_1_of_1.png,.png,2075286fcf7c70206984291fa0b71f3efccf5bbbc95cab8f6bb6c22bf00c1f70,True,961,663,L,PNG,"(663, 961)",0.0,255.0,53.10908854056311,43.65559124088336,217850,True,False,False,False
train,Abdomen,Fetal abdomen,patient00305,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00305_Plane2_1_of_2.png,Patient00305_Plane2_1_of_2.png,.png,b04dfb1c997672573e0a8831463d9036942ffd6da84c04176431581261cf2c70,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,95.70666581733289,50.67772675650717,302423,True,False,False,False
train,Abdomen,Fetal abdomen,patient00305,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00305_Plane2_2_of_2.png,Patient00305_Plane2_2_of_2.png,.png,5ffe5931cf3f74ba1b3f68780a38d291155df5adea3544d3785a75e4cb1f6181,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,80.43139003530322,53.33828803552543,305579,True,False,False,False
train,Abdomen,Fetal abdomen,patient00631,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00631_Plane2_1_of_1.png,Patient00631_Plane2_1_of_1.png,.png,fca991c01984c6e288beb03edadca540046dc720f6f2d7d00718ed39eb700102,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,25.432339948078884,34.29046623376013,213724,True,False,False,False
train,Abdomen,Fetal abdomen,patient00640,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00640_Plane2_1_of_1.png,Patient00640_Plane2_1_of_1.png,.png,f7bfa73bf164bd6feffb260ba182841ec1249dd3c7be95954f6187059444fd70,True,1495,787,L,PNG,"(787, 1495)",0.0,255.0,24.236477372690842,34.29715861749469,231405,True,False,False,False
train,Abdomen,Fetal abdomen,patient00647,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00647_Plane2_1_of_1.png,Patient00647_Plane2_1_of_1.png,.png,0bfeb273c836e29c7fea015355d5b9218f3c79ccf86b965cdaff9c14545a9cd6,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,39.25935524390966,42.299928051244244,238374,True,False,False,False
train,Abdomen,Fetal abdomen,patient00649,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00649_Plane2_1_of_1.png,Patient00649_Plane2_1_of_1.png,.png,ef696a3fd3677a7cb0fa4665c8edeb51abba88123ce4c16ace00ff4870050ecb,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,35.571496581990324,32.67165372688332,249628,True,False,False,False
train,Abdomen,Fetal abdomen,patient00696,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00696_Plane2_1_of_1.png,Patient00696_Plane2_1_of_1.png,.png,f143989fc4e94c17759309080fc42be02e54dd48cbe33df8fc86228aa37ec15d,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,19.38474596538518,31.510895480968124,185097,True,False,False,False
train,Abdomen,Fetal abdomen,patient00698,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00698_Plane2_1_of_1.png,Patient00698_Plane2_1_of_1.png,.png,15f7e78be9fbf5f1899ddcfdd7edb11bc6a541519cc1981923eccafcd42a1bc9,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,89.66906379949465,53.151177077680025,304572,True,False,False,False
train,Abdomen,Fetal abdomen,patient00699,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00699_Plane2_1_of_1.png,Patient00699_Plane2_1_of_1.png,.png,d8f59a84d540f02da62174e119f05bb3d26ff8e4083c58394d2cf8671744cdb1,True,961,663,L,PNG,"(663, 961)",0.0,255.0,34.93442916268405,38.000386067314174,219787,True,False,False,False
train,Abdomen,Fetal abdomen,patient00703,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00703_Plane2_1_of_1.png,Patient00703_Plane2_1_of_1.png,.png,3706fa82a4c737f34d8391270bd621964a2245fa1ef945ab339edda8fe19c4d3,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,23.844932885868538,35.51111520797891,191615,True,False,False,False
train,Abdomen,Fetal abdomen,patient00704,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00704_Plane2_1_of_1.png,Patient00704_Plane2_1_of_1.png,.png,ff047dd0f288ba1ecb9c3230bebd7aff0807b6893d47ea628e08ed048f7ccea1,True,961,663,L,PNG,"(663, 961)",0.0,255.0,34.83136281808009,33.496511364595456,221066,True,False,False,False
train,Abdomen,Fetal abdomen,patient00705,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00705_Plane2_1_of_2.png,Patient00705_Plane2_1_of_2.png,.png,bb7af798235ea1a00b41c35088e7e3bce60f9ba52db04bdba39f1383827fde83,True,961,663,L,PNG,"(663, 961)",0.0,255.0,39.044738779206554,33.65112911854125,224411,True,False,False,False
