Split,Width,Height,Mode,Number of Images
test,959,661,L,379
test,640,392,L,191
test,961,663,L,154
test,1137,787,L,148
test,692,480,L,104
test,740,448,L,57
test,959,496,L,27
test,869,601,L,24
test,745,559,L,18
test,753,567,L,14
test,640,460,L,4
test,1137,591,L,3
test,793,597,L,2
test,320,196,L,1
test,568,393,L,1
test,754,506,RGBA,1
test,853,513,RGBA,1
test,920,482,RGBA,1
test,959,669,L,1
test,961,498,L,1
test,1007,714,RGBA,1
test,1063,730,RGBA,1
test,1109,787,L,1
train,959,661,L,3810
train,640,392,L,2300
train,1137,787,L,984
train,961,663,L,756
train,740,448,L,692
train,692,480,L,289
train,768,519,L,242
train,647,381,L,235
train,384,259,L,174
train,959,496,L,173
train,869,601,L,147
train,745,559,L,140
train,753,567,L,79
train,1137,591,L,31
train,793,597,L,25
train,640,460,L,16
train,568,393,L,14
train,320,196,L,13
train,1495,787,L,13
train,325,381,L,11
train,961,498,L,8
train,707,531,L,5
train,280,392,L,3
train,641,481,L,3
train,961,443,L,3
train,1059,755,RGBA,3
train,560,378,RGBA,1
train,645,386,RGBA,1
train,646,381,RGBA,1
train,648,377,RGBA,1
train,648,390,RGBA,1
train,649,382,RGBA,1
train,649,499,RGBA,1
train,650,383,RGBA,1
train,687,424,RGBA,1
train,688,425,RGBA,1
train,748,564,RGBA,1
train,754,414,RGBA,1
train,755,507,RGBA,1
train,755,513,RGBA,1
train,756,512,RGBA,1
train,759,509,RGBA,1
train,761,509,RGBA,1
train,762,448,RGBA,1
train,768,601,RGBA,1
train,787,643,RGBA,1
train,829,709,RGBA,1
train,855,511,RGBA,1
train,911,513,RGBA,1
train,917,513,RGBA,1
train,921,509,RGBA,1
train,955,659,RGBA,1
train,957,663,RGBA,1
train,958,661,RGBA,1
train,1059,753,RGBA,1
train,1059,757,RGBA,1
train,1063,747,RGBA,1
train,1063,751,RGBA,1
train,1133,593,RGBA,1
train,1605,787,L,1
val,959,661,L,444
val,640,392,L,239
val,1137,787,L,126
val,961,663,L,91
val,740,448,L,61
val,869,601,L,20
val,745,559,L,15
val,753,567,L,15
val,959,496,L,14
val,384,259,L,8
val,768,519,L,8
val,568,393,L,6
val,1495,787,L,3
val,320,196,L,2
val,793,597,L,2
val,280,448,L,1
val,513,441,L,1
val,640,460,L,1
val,645,489,RGBA,1
val,707,531,L,1
val,911,511,RGBA,1
val,922,389,RGBA,1
val,1063,676,RGBA,1
