Patient ID,Split,Number of Splits
patient00001,['train'],1
patient00002,['train'],1
patient00003,['train'],1
patient00004,['train'],1
patient00005,['train'],1
patient00006,['train'],1
patient00007,['train'],1
patient00008,['train'],1
patient00009,['train'],1
patient00010,['train'],1
patient00011,['train'],1
patient00012,['train'],1
patient00013,['train'],1
patient00014,['train'],1
patient00015,['train'],1
patient00016,['train'],1
patient00017,['train'],1
patient00018,['train'],1
patient00019,['train'],1
patient00020,['train'],1
patient00021,['train'],1
patient00022,['train'],1
patient00023,['train'],1
patient00024,['val'],1
patient00025,['train'],1
patient00026,['train'],1
patient00027,['train'],1
patient00028,['train'],1
patient00029,['train'],1
patient00030,['test'],1
patient00031,['test'],1
patient00032,['train'],1
patient00033,['test'],1
patient00034,['train'],1
patient00035,['train'],1
patient00036,['train'],1
patient00037,['train'],1
patient00038,['train'],1
patient00039,['train'],1
patient00040,['train'],1
patient00041,['train'],1
patient00042,['train'],1
patient00043,['train'],1
patient00044,['train'],1
patient00045,['val'],1
patient00046,['train'],1
patient00047,['train'],1
patient00048,['train'],1
patient00049,['train'],1
patient00050,['test'],1
patient00051,['train'],1
patient00052,['val'],1
patient00053,['train'],1
patient00054,['train'],1
patient00055,['train'],1
patient00056,['train'],1
patient00057,['train'],1
patient00058,['train'],1
patient00059,['train'],1
patient00060,['val'],1
patient00061,['train'],1
patient00062,['train'],1
patient00063,['train'],1
patient00064,['train'],1
patient00065,['train'],1
patient00066,['test'],1
patient00067,['train'],1
patient00068,['val'],1
patient00069,['train'],1
patient00070,['val'],1
patient00071,['test'],1
patient00072,['val'],1
patient00073,['train'],1
patient00074,['test'],1
patient00075,['train'],1
patient00076,['train'],1
patient00077,['val'],1
patient00078,['train'],1
patient00079,['test'],1
patient00080,['train'],1
patient00081,['train'],1
patient00082,['train'],1
patient00083,['train'],1
patient00084,['train'],1
patient00085,['train'],1
patient00086,['train'],1
patient00087,['train'],1
patient00088,['train'],1
patient00089,['train'],1
patient00090,['train'],1
patient00091,['train'],1
patient00092,['train'],1
patient00093,['train'],1
patient00094,['train'],1
patient00095,['train'],1
patient00096,['train'],1
patient00097,['train'],1
patient00098,['train'],1
patient00099,['train'],1
patient00100,['test'],1
patient00101,['train'],1
patient00102,['train'],1
patient00103,['train'],1
patient00104,['train'],1
patient00105,['train'],1
patient00106,['train'],1
patient00107,['train'],1
patient00108,['train'],1
patient00109,['train'],1
patient00110,['val'],1
patient00111,['train'],1
patient00112,['val'],1
patient00113,['train'],1
patient00114,['train'],1
patient00115,['train'],1
patient00116,['test'],1
patient00117,['train'],1
patient00118,['train'],1
patient00119,['train'],1
patient00120,['train'],1
patient00121,['train'],1
patient00122,['train'],1
patient00123,['train'],1
patient00124,['test'],1
patient00125,['test'],1
patient00126,['train'],1
patient00127,['train'],1
patient00128,['train'],1
patient00129,['train'],1
patient00130,['train'],1
patient00131,['train'],1
patient00132,['train'],1
patient00133,['train'],1
patient00134,['train'],1
patient00135,['train'],1
patient00136,['val'],1
patient00137,['train'],1
patient00138,['train'],1
patient00139,['train'],1
patient00140,['train'],1
patient00141,['train'],1
patient00142,['test'],1
patient00143,['train'],1
patient00144,['train'],1
patient00145,['train'],1
patient00146,['train'],1
patient00147,['train'],1
patient00148,['train'],1
patient00149,['train'],1
patient00150,['train'],1
patient00151,['train'],1
patient00152,['train'],1
patient00153,['train'],1
patient00154,['train'],1
patient00155,['train'],1
patient00156,['train'],1
patient00157,['train'],1
patient00158,['train'],1
patient00159,['train'],1
patient00160,['train'],1
patient00161,['train'],1
patient00162,['train'],1
patient00163,['val'],1
patient00164,['train'],1
patient00165,['train'],1
patient00166,['train'],1
patient00167,['train'],1
patient00168,['train'],1
patient00169,['test'],1
patient00170,['train'],1
patient00171,['test'],1
patient00172,['train'],1
patient00173,['train'],1
patient00174,['test'],1
patient00175,['train'],1
patient00176,['train'],1
patient00177,['train'],1
patient00178,['train'],1
patient00179,['train'],1
patient00180,['train'],1
patient00181,['train'],1
patient00182,['train'],1
patient00183,['train'],1
patient00184,['train'],1
patient00185,['val'],1
patient00186,['val'],1
patient00187,['train'],1
patient00188,['train'],1
patient00189,['val'],1
patient00190,['train'],1
patient00191,['train'],1
patient00192,['train'],1
patient00193,['train'],1
patient00194,['train'],1
patient00195,['train'],1
patient00196,['train'],1
patient00197,['val'],1
patient00198,['train'],1
patient00199,['train'],1
patient00200,['train'],1
patient00201,['train'],1
patient00202,['train'],1
patient00203,['train'],1
patient00204,['test'],1
patient00205,['train'],1
patient00206,['train'],1
patient00207,['train'],1
patient00208,['train'],1
patient00209,['train'],1
patient00210,['train'],1
patient00211,['test'],1
patient00212,['train'],1
patient00213,['test'],1
patient00214,['train'],1
patient00215,['train'],1
patient00216,['train'],1
patient00217,['train'],1
patient00218,['train'],1
patient00219,['train'],1
patient00220,['train'],1
patient00221,['val'],1
patient00222,['train'],1
patient00223,['train'],1
patient00224,['train'],1
patient00225,['train'],1
patient00226,['train'],1
patient00227,['train'],1
patient00228,['train'],1
patient00229,['train'],1
patient00230,['train'],1
patient00231,['train'],1
patient00232,['train'],1
patient00233,['train'],1
patient00234,['val'],1
patient00235,['train'],1
patient00236,['train'],1
patient00237,['train'],1
patient00238,['test'],1
patient00239,['train'],1
patient00240,['val'],1
patient00241,['test'],1
patient00242,['train'],1
patient00243,['train'],1
